ci,lum,absmag,spect
0.144,372.2202530178502,-1.577,b
-0.107,61.54602373713163,0.377,b
-0.120,487.07966649253666,-1.869,b
-0.150,126.70682249985478,-0.407,b
0.037,121.22717925364971,-0.359,b
-0.194,495.67840659411786,-1.888,b
-0.127,134.40022630821636,-0.471,b
-0.197,691.8309709189363,-2.250,b
-0.125,383.3540007590441,-1.609,b
-0.081,83.17637711026708,0.050,b
-0.040,59.26523352402154,0.418,b
-0.136,903.6494737223014,-2.540,b
-0.051,120.89267852132994,-0.356,b
-0.032,115.1330474155817,-0.303,b
-0.071,180.80065521100082,-0.793,b
-0.274,1229.1361730601686,-2.874,b
-0.061,175.87333541355733,-0.763,b
-0.132,150.3834347961358,-0.593,b
-0.156,253.74646458649644,-1.161,b
-0.168,5095.654806081146,-4.418,b
-0.051,94.6237161365793,-0.090,b
-0.068,56.078966337451,0.478,b
-0.128,246.15009062337666,-1.128,b
-0.076,43.571248050308405,0.752,b
-0.195,646.249172495388,-2.176,b
-0.053,84.72274141405963,0.030,b
0.549,425.0108331760471,-1.721,b
-0.154,102.32929922807536,-0.175,b
-0.057,136.64696807404644,-0.489,b
-0.175,303.3891184194272,-1.355,b
-0.148,370.1689610332348,-1.571,b
-0.145,1165.198723025,-2.816,b
-0.165,1116.863247780561,-2.770,b
-0.088,2352.8812019381708,-3.579,b
-0.059,283.1391995799379,-1.280,b
-0.007,569.6393733411835,-2.039,b
0.218,1658.0590751089167,-3.199,b
-0.071,144.54397707459265,-0.550,b
-0.128,542.0008904016238,-1.985,b
-0.042,82.9468695095263,0.053,b
-0.033,56.65001119195331,0.467,b
-0.097,371.53522909717276,-1.575,b
0.236,3705.1005630192435,-4.072,b
-0.066,1189.0496789850986,-2.838,b
